City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-10-03 00:39:32,-53.15,-70.9167,42.91,81,75,9.22
1,Sorland,NO,2021-10-03 00:40:00,67.667,12.6934,53.73,81,100,17.02
2,Tezu,IN,2021-10-03 00:41:00,27.9167,96.1667,72.88,97,100,3.11
3,Padang,ID,2021-10-03 00:40:17,-0.9492,100.3543,75.25,76,88,1.05
4,Vegreville,CA,2021-10-03 00:41:01,53.5001,-112.0518,59.7,29,100,5.75
5,Lavrentiya,RU,2021-10-03 00:39:26,65.5833,-171.0,29.08,74,7,6.51
6,Ushuaia,AR,2021-10-03 00:39:42,-54.8,-68.3,42.46,75,75,16.11
7,Mataura,NZ,2021-10-03 00:39:26,-46.1927,168.8643,55.47,68,100,2.04
8,Kouqian,CN,2021-10-03 00:41:02,43.6391,126.4578,58.75,84,100,13.44
9,Naryan-Mar,RU,2021-10-03 00:41:02,67.6713,53.087,35.83,80,100,8.88
10,Rikitea,PF,2021-10-03 00:41:03,-23.1203,-134.9692,73.35,66,0,20.83
11,Praia,CV,2021-10-03 00:41:03,14.9215,-23.5087,79.34,78,20,9.22
12,Yar-Sale,RU,2021-10-03 00:41:04,66.8333,70.8333,27.93,87,29,10.89
13,Busselton,AU,2021-10-03 00:41:04,-33.65,115.3333,57.04,49,12,14.5
14,Pisco,PE,2021-10-03 00:41:04,-13.7,-76.2167,62.65,82,0,14.97
15,Iqaluit,CA,2021-10-03 00:41:05,63.7506,-68.5145,31.73,93,1,3.0
16,New Norfolk,AU,2021-10-03 00:41:05,-42.7826,147.0587,57.9,70,100,3.0
17,La Ronge,CA,2021-10-03 00:38:59,55.1001,-105.2842,57.45,54,90,3.44
18,Aliaga,PH,2021-10-03 00:41:06,15.5167,120.8667,81.16,80,98,0.83
19,Caravelas,BR,2021-10-03 00:41:06,-17.7125,-39.2481,75.47,84,1,13.06
20,Coquimbo,CL,2021-10-03 00:41:07,-29.9533,-71.3436,55.13,82,0,12.66
21,Georgiyevka,KZ,2021-10-03 00:41:07,43.0369,74.7114,32.04,100,90,4.47
22,Salalah,OM,2021-10-03 00:41:08,17.0151,54.0924,80.69,89,75,9.22
23,Mascote,BR,2021-10-03 00:41:09,-15.5631,-39.3025,69.62,95,2,4.03
24,Bethel,US,2021-10-03 00:38:48,41.3712,-73.414,64.92,86,1,3.44
25,Lebu,CL,2021-10-03 00:41:10,-37.6167,-73.65,48.54,70,5,17.36
26,Castro,BR,2021-10-03 00:41:10,-24.7911,-50.0119,60.58,98,100,3.51
27,Nantucket,US,2021-10-03 00:41:11,41.2835,-70.0995,66.99,83,1,14.97
28,Ribeira Grande,PT,2021-10-03 00:41:11,38.5167,-28.7,71.8,89,92,11.14
29,Orange Cove,US,2021-10-03 00:36:48,36.6244,-119.3137,91.06,18,1,4.61
30,Hermanus,ZA,2021-10-03 00:39:34,-34.4187,19.2345,51.91,65,27,0.92
31,Kapaa,US,2021-10-03 00:38:21,22.0752,-159.319,87.78,71,90,4.0
32,Cape Town,ZA,2021-10-03 00:36:36,-33.9258,18.4232,52.12,70,40,4.61
33,Nizhniy Ingash,RU,2021-10-03 00:41:13,56.2,96.53,35.55,87,93,6.06
34,Umm Lajj,SA,2021-10-03 00:41:13,25.0213,37.2685,80.1,65,0,13.06
35,Albany,US,2021-10-03 00:41:14,42.6001,-73.9662,64.81,86,23,3.58
36,Nianzishan,CN,2021-10-03 00:39:27,47.5167,122.8833,42.76,92,100,13.98
37,Grindavik,IS,2021-10-03 00:41:14,63.8424,-22.4338,42.75,75,75,29.93
38,Norman Wells,CA,2021-10-03 00:41:15,65.282,-126.8329,33.84,93,90,10.36
39,Morgan City,US,2021-10-03 00:41:15,29.6994,-91.2068,75.99,100,20,4.61
40,Thompson,CA,2021-10-03 00:37:53,55.7435,-97.8558,55.56,82,75,2.3
41,Hithadhoo,MV,2021-10-03 00:39:41,-0.6,73.0833,83.3,72,23,13.04
42,San Quintin,MX,2021-10-03 00:41:16,30.4833,-115.95,77.11,46,60,4.03
43,Rio Cuarto,AR,2021-10-03 00:41:17,-33.1307,-64.3499,55.17,30,0,6.91
44,Severo-Kurilsk,RU,2021-10-03 00:39:28,50.6789,156.125,47.3,95,100,23.51
45,Progreso,MX,2021-10-03 00:41:17,21.2833,-89.6667,80.11,76,87,14.74
46,Airai,TL,2021-10-03 00:41:18,-8.9266,125.4092,75.31,48,6,2.84
47,Bubaque,GW,2021-10-03 00:40:39,11.2833,-15.8333,81.52,78,99,9.51
48,Faanui,PF,2021-10-03 00:41:18,-16.4833,-151.75,79.18,73,13,14.34
49,Abu Samrah,SY,2021-10-03 00:41:19,35.3029,37.1841,67.87,78,0,9.48
50,Marinette,US,2021-10-03 00:41:19,45.1,-87.6307,69.89,88,1,4.61
51,Banjarmasin,ID,2021-10-03 00:41:20,-3.3244,114.591,77.14,66,83,1.72
52,Tasiilaq,GL,2021-10-03 00:41:20,65.6145,-37.6368,37.56,63,0,5.53
53,Kavieng,PG,2021-10-03 00:41:20,-2.5744,150.7967,84.67,65,20,4.52
54,Brae,GB,2021-10-03 00:41:21,60.3964,-1.353,51.71,85,100,27.13
55,Mirabad,AF,2021-10-03 00:41:22,30.4362,61.8383,64.27,31,7,21.27
56,Saint-Philippe,RE,2021-10-03 00:41:22,-21.3585,55.7679,69.39,75,45,13.2
57,Labuhan,ID,2021-10-03 00:41:23,-6.8844,112.2051,82.67,63,100,10.42
58,Ponnani,IN,2021-10-03 00:41:23,10.767,75.9252,76.32,93,100,3.47
59,Maxixe,MZ,2021-10-03 00:41:24,-23.8597,35.3472,73.58,91,88,9.19
60,Bernay,FR,2021-10-03 00:41:24,49.1667,0.6667,57.11,95,100,3.89
61,Hvolsvollur,IS,2021-10-03 00:41:25,63.7533,-20.2243,40.8,78,100,16.64
62,Longyearbyen,SJ,2021-10-03 00:41:25,78.2186,15.6401,37.24,87,75,2.3
63,Atambua,ID,2021-10-03 00:41:26,-9.1061,124.8925,85.39,51,6,1.66
64,Avarua,CK,2021-10-03 00:41:27,-21.2078,-159.775,75.25,88,75,10.36
65,Atuona,PF,2021-10-03 00:41:27,-9.8,-139.0333,78.19,74,6,20.69
66,Bredasdorp,ZA,2021-10-03 00:41:27,-34.5322,20.0403,45.28,72,27,5.84
67,Nalut,LY,2021-10-03 00:41:28,30.3333,10.85,72.37,36,0,9.57
68,Victoria,HK,2021-10-03 00:41:28,22.2855,114.1577,87.22,85,45,1.01
69,Kavaratti,IN,2021-10-03 00:41:28,10.5669,72.642,81.7,80,100,14.5
70,Kirakira,SB,2021-10-03 00:41:29,-10.4544,161.9205,82.89,78,34,3.87
71,Port Alfred,ZA,2021-10-03 00:39:54,-33.5906,26.891,53.29,69,83,22.21
72,Upernavik,GL,2021-10-03 00:41:29,72.7868,-56.1549,29.79,71,100,7.14
73,Vaini,TO,2021-10-03 00:41:30,-21.2,-175.2,77.16,83,75,13.8
74,Acajutla,SV,2021-10-03 00:41:30,13.5928,-89.8275,88.14,82,56,4.23
75,Puurmani,EE,2021-10-03 00:41:31,58.5738,26.2878,41.22,89,26,7.63
76,Ilulissat,GL,2021-10-03 00:41:31,69.2167,-51.1,17.04,75,21,7.02
77,Carnarvon,AU,2021-10-03 00:41:32,-24.8667,113.6333,60.87,82,90,13.8
78,Barrow,US,2021-10-03 00:36:34,71.2906,-156.7887,30.22,80,90,13.8
79,Bambous Virieux,MU,2021-10-03 00:41:32,-20.3428,57.7575,72.21,88,40,11.5
80,Cowra,AU,2021-10-03 00:41:33,-33.8333,148.6833,64.27,74,99,8.99
81,Comodoro Rivadavia,AR,2021-10-03 00:41:33,-45.8667,-67.5,42.66,61,0,6.91
82,Vestmanna,FO,2021-10-03 00:41:34,62.1564,-7.1664,49.12,93,75,16.11
83,Berlevag,NO,2021-10-03 00:40:47,70.8578,29.0864,49.39,85,76,26.11
84,Nikolskoye,RU,2021-10-03 00:41:35,59.7035,30.7861,45.88,95,17,4.83
85,Hami,CN,2021-10-03 00:39:10,42.8,93.45,50.22,36,100,12.01
86,Tiksi,RU,2021-10-03 00:40:58,71.6872,128.8694,27.0,85,62,15.41
87,Buala,SB,2021-10-03 00:41:36,-8.145,159.5921,81.73,81,96,2.28
88,Haines Junction,CA,2021-10-03 00:41:36,60.7522,-137.5108,44.55,49,100,5.75
89,Butaritari,KI,2021-10-03 00:41:37,3.0707,172.7902,82.13,67,25,18.72
90,Lagoa,PT,2021-10-03 00:41:37,39.05,-27.9833,70.03,87,100,11.1
91,Nanortalik,GL,2021-10-03 00:41:11,60.1432,-45.2371,40.12,76,8,3.13
92,Mount Gambier,AU,2021-10-03 00:37:27,-37.8333,140.7667,57.11,94,90,11.5
93,Puerto Ayora,EC,2021-10-03 00:41:38,-0.7393,-90.3518,73.36,90,63,8.16
94,Hilo,US,2021-10-03 00:41:38,19.7297,-155.09,83.93,72,75,8.05
95,Fortuna,US,2021-10-03 00:39:48,40.5982,-124.1573,61.93,68,1,4.0
96,Kupang,ID,2021-10-03 00:41:39,-10.1667,123.5833,84.25,61,36,6.8
97,Henties Bay,NA,2021-10-03 00:41:40,-22.116,14.2845,53.85,92,2,7.83
98,Sao Filipe,CV,2021-10-03 00:40:49,14.8961,-24.4956,79.45,82,74,11.52
99,Bluff,NZ,2021-10-03 00:40:04,-46.6,168.3333,55.8,73,100,4.97
100,Ancud,CL,2021-10-03 00:41:41,-41.8697,-73.8203,45.93,85,42,8.79
101,Tessalit,ML,2021-10-03 00:41:41,20.1986,1.0114,87.85,13,100,4.25
102,Whitehorse,CA,2021-10-03 00:41:42,60.7161,-135.0538,42.03,56,75,17.0
103,Agadez,NE,2021-10-03 00:41:42,19.75,10.25,78.42,21,0,10.07
104,Tuktoyaktuk,CA,2021-10-03 00:40:23,69.4541,-133.0374,37.4,87,90,9.22
105,Taganak,PH,2021-10-03 00:41:43,6.0833,118.3,78.94,78,97,7.58
106,Guerrero Negro,MX,2021-10-03 00:41:43,27.9769,-114.0611,77.74,63,1,15.08
107,Pangkalanbuun,ID,2021-10-03 00:41:43,-2.6833,111.6167,82.67,73,97,0.47
108,Cuamba,MZ,2021-10-03 00:41:44,-14.8031,36.5372,73.04,52,5,5.75
109,Beli Manastir,HR,2021-10-03 00:41:44,45.77,18.6036,51.37,56,25,6.64
110,Port Elizabeth,ZA,2021-10-03 00:41:45,-33.918,25.5701,50.09,81,75,12.66
111,Wanning,CN,2021-10-03 00:41:45,18.8003,110.3967,82.17,76,21,3.87
112,Tuatapere,NZ,2021-10-03 00:41:45,-46.1333,167.6833,55.81,70,100,4.21
113,Port Hardy,CA,2021-10-03 00:41:46,50.6996,-127.4199,51.98,93,90,9.22
114,Suntar,RU,2021-10-03 00:41:46,62.1444,117.6319,34.81,54,9,1.66
115,Makakilo City,US,2021-10-03 00:41:47,21.3469,-158.0858,86.32,53,40,6.91
116,Korla,CN,2021-10-03 00:39:13,41.7597,86.1469,49.96,43,100,16.73
117,Ponta Delgada,PT,2021-10-03 00:40:10,37.7333,-25.6667,74.5,88,75,9.22
118,Kudahuvadhoo,MV,2021-10-03 00:41:48,2.6708,72.8944,82.94,73,35,13.44
119,Ypsonas,CY,2021-10-03 00:41:48,34.6884,32.9574,72.99,60,0,3.44
120,Jamestown,US,2021-10-03 00:37:27,42.097,-79.2353,64.71,75,1,1.01
121,Nisia Floresta,BR,2021-10-03 00:41:49,-6.0911,-35.2086,79.18,89,3,6.6
122,Raudeberg,NO,2021-10-03 00:41:50,61.9875,5.1352,52.86,59,100,5.01
123,Imatra,FI,2021-10-03 00:41:50,61.1719,28.7524,41.38,82,16,4.0
124,Upata,VE,2021-10-03 00:40:14,8.0086,-62.3989,75.2,95,100,3.36
125,Letlhakane,BW,2021-10-03 00:41:51,-21.4167,25.5833,66.6,18,0,11.07
126,Frome,GB,2021-10-03 00:41:51,51.2283,-2.3221,52.03,94,100,5.7
127,Sao Felix Do Xingu,BR,2021-10-03 00:41:51,-6.6447,-51.995,72.14,97,100,2.77
128,Muromtsevo,RU,2021-10-03 00:41:52,56.3724,75.2418,33.44,99,100,4.63
129,Bengkulu,ID,2021-10-03 00:41:52,-3.8004,102.2655,78.22,80,37,2.24
130,Qaanaaq,GL,2021-10-03 00:41:52,77.484,-69.3632,30.13,95,100,15.61
131,Nemuro,JP,2021-10-03 00:41:53,43.3236,145.575,64.83,66,0,15.17
132,Saskylakh,RU,2021-10-03 00:41:54,71.9167,114.0833,23.31,96,97,5.41
133,Provideniya,RU,2021-10-03 00:41:54,64.3833,-173.3,29.89,66,0,2.04
134,Ituiutaba,BR,2021-10-03 00:41:54,-18.9689,-49.465,82.45,44,9,4.29
135,Buin,CL,2021-10-03 00:41:55,-33.7333,-70.75,59.74,67,0,7.65
136,Nome,US,2021-10-03 00:41:55,64.5011,-165.4064,37.47,52,20,19.57
137,Saint-Francois,FR,2021-10-03 00:41:56,46.4154,3.9054,67.44,63,0,19.57
138,Kudat,MY,2021-10-03 00:41:56,6.8837,116.8477,80.53,83,20,14.97
139,Cayenne,GF,2021-10-03 00:40:56,4.9333,-52.3333,84.09,78,0,4.0
140,Mattru,SL,2021-10-03 00:41:57,7.6244,-11.8332,73.22,98,100,1.19
141,Kamaishi,JP,2021-10-03 00:41:58,39.2667,141.8833,63.55,54,0,2.15
142,Axim,GH,2021-10-03 00:41:58,4.8699,-2.2405,76.26,90,79,6.22
143,Chara,RU,2021-10-03 00:41:58,56.9064,118.2631,34.65,54,9,1.72
144,Uray,RU,2021-10-03 00:41:59,60.1247,64.7758,28.49,94,23,6.08
145,Adrar,MR,2021-10-03 00:42:00,20.5022,-10.0711,86.99,13,1,4.12
146,Ranong,TH,2021-10-03 00:42:00,9.9658,98.6348,76.93,78,100,2.82
147,Bucerias,MX,2021-10-03 00:38:53,20.75,-105.3333,85.98,70,40,5.75
148,Faya,SA,2021-10-03 00:42:01,18.3851,42.4509,64.51,29,99,4.47
149,Souillac,MU,2021-10-03 00:42:01,-20.5167,57.5167,72.36,88,40,11.5
150,Kawalu,ID,2021-10-03 00:42:02,-7.3817,108.2082,75.79,78,88,3.33
151,Skjervoy,NO,2021-10-03 00:42:02,70.0311,20.9714,50.97,81,100,13.24
152,Xiongzhou,CN,2021-10-03 00:42:03,25.1167,114.3,85.71,65,2,2.8
153,Yellowknife,CA,2021-10-03 00:42:03,62.456,-114.3525,49.41,94,75,14.97
154,Linares,CL,2021-10-03 00:42:04,-35.85,-71.6,44.29,61,0,10.65
155,Coihaique,CL,2021-10-03 00:42:04,-45.5752,-72.0662,44.55,61,75,6.91
156,Gayeri,BF,2021-10-03 00:42:04,12.6497,0.4931,81.97,52,88,7.92
157,Iranshahr,IR,2021-10-03 00:42:05,27.2025,60.6848,86.34,30,0,11.5
158,Lorengau,PG,2021-10-03 00:42:05,-2.0226,147.2712,85.78,64,41,4.88
159,Kodiak,US,2021-10-03 00:40:08,57.79,-152.4072,39.52,50,92,27.67
160,Port-Cartier,CA,2021-10-03 00:42:06,50.0334,-66.8654,43.75,91,100,5.79
161,Hobart,AU,2021-10-03 00:42:07,-42.8794,147.3294,58.26,94,75,1.99
162,Darhan,MN,2021-10-03 00:42:07,49.4867,105.9228,37.9,75,100,0.74
163,Jega,NG,2021-10-03 00:42:07,12.2175,4.3792,82.17,57,21,7.96
164,Los Llanos De Aridane,ES,2021-10-03 00:42:08,28.6585,-17.9182,67.75,83,0,11.5
165,Khatanga,RU,2021-10-03 00:42:08,71.9667,102.5,15.6,97,66,2.08
166,Atbasar,KZ,2021-10-03 00:42:08,51.8,68.3333,36.59,89,92,3.53
167,Sitka,US,2021-10-03 00:42:09,57.0531,-135.33,44.49,70,90,9.22
168,Lichinga,MZ,2021-10-03 00:42:09,-13.3128,35.2406,66.29,68,0,12.66
169,Tupik,RU,2021-10-03 00:42:10,54.4253,119.9327,37.99,52,8,2.35
170,Margate,GB,2021-10-03 00:42:10,51.3813,1.3862,57.31,86,100,1.99
171,Port Lincoln,AU,2021-10-03 00:40:58,-34.7333,135.8667,59.5,62,34,28.07
172,Sayyan,YE,2021-10-03 00:42:11,15.1718,44.3244,62.6,44,100,3.42
173,Srednekolymsk,RU,2021-10-03 00:42:11,67.45,153.6833,26.89,75,89,15.1
174,Nieuwegein,NL,2021-10-03 00:42:12,52.0292,5.0806,63.45,94,100,20.42
175,Palmer,US,2021-10-03 00:38:45,42.1584,-72.3287,65.57,70,20,5.75
176,Saint George,US,2021-10-03 00:39:05,37.1041,-113.5841,88.27,16,1,0.0
177,Hovd,MN,2021-10-03 00:42:13,48.0056,91.6419,32.49,38,2,5.37
178,Chifeng,CN,2021-10-03 00:39:11,42.2683,118.9636,65.48,65,24,4.7
179,Tongliao,CN,2021-10-03 00:42:13,43.6125,122.2653,72.41,54,9,13.78
180,Erzin,TR,2021-10-03 00:42:14,36.9559,36.2,75.0,72,7,2.53
181,East London,ZA,2021-10-03 00:42:14,-33.0153,27.9116,53.87,60,12,18.01
182,Geraldton,AU,2021-10-03 00:42:14,-28.7667,114.6,64.81,77,75,13.8
183,Torbay,CA,2021-10-03 00:42:15,47.6666,-52.7314,55.27,88,20,8.05
184,Esmeraldas,BR,2021-10-03 00:42:15,-19.7625,-44.3139,72.64,71,74,2.86
185,Touros,BR,2021-10-03 00:42:16,-5.1989,-35.4608,77.9,82,11,12.53
186,Saldanha,ZA,2021-10-03 00:42:16,-33.0117,17.9442,44.65,64,53,13.51
187,Mar Del Plata,AR,2021-10-03 00:37:53,-38.0023,-57.5575,55.13,66,90,8.99
188,Myitkyina,MM,2021-10-03 00:42:17,25.3833,97.4,74.71,98,83,0.09
189,Zyryanka,RU,2021-10-03 00:42:17,65.75,150.85,30.7,71,95,7.7
190,San Francisco,US,2021-10-03 00:40:38,37.7749,-122.4194,94.98,57,20,4.0
191,Kaitangata,NZ,2021-10-03 00:42:18,-46.2817,169.8464,54.93,76,100,1.74
192,Vila Velha,BR,2021-10-03 00:42:18,-20.3297,-40.2925,76.95,83,40,12.66
193,Chuy,UY,2021-10-03 00:42:19,-33.6971,-53.4616,55.06,85,100,5.46
194,Tagusao,PH,2021-10-03 00:42:20,9.1924,117.8141,83.14,75,94,4.68
195,Sao Joao Da Barra,BR,2021-10-03 00:42:20,-21.6403,-41.0511,73.92,92,79,3.71
196,Pronsk,RU,2021-10-03 00:42:20,54.1048,39.6092,37.63,79,38,2.66
197,Novobiryusinskiy,RU,2021-10-03 00:42:21,56.9578,97.7076,37.63,92,100,3.71
198,Bay Roberts,CA,2021-10-03 00:42:22,47.5999,-53.2648,56.03,93,100,1.99
199,Solok,ID,2021-10-03 00:42:22,-0.7918,100.6593,70.75,86,97,0.69
200,Viseu,PT,2021-10-03 00:42:23,40.661,-7.9097,62.89,96,100,14.41
201,Batticaloa,LK,2021-10-03 00:42:24,7.7102,81.6924,78.57,86,92,6.51
202,Bambanglipuro,ID,2021-10-03 00:42:24,-7.95,110.2833,78.57,73,94,8.61
203,Pilar,BR,2021-10-03 00:38:55,-9.5972,-35.9567,76.93,95,14,4.65
204,Ixtapa,MX,2021-10-03 00:42:25,20.7,-105.2,85.23,70,40,5.75
205,Bonaventure,CA,2021-10-03 00:42:25,48.0457,-65.4926,51.35,100,100,3.44
206,Sola,VU,2021-10-03 00:42:26,-13.8833,167.55,77.67,94,90,5.75
207,Sudova Vyshnya,UA,2021-10-03 00:42:26,49.7889,23.3722,47.19,72,3,7.36
208,Kenai,US,2021-10-03 00:42:26,60.5544,-151.2583,42.85,55,90,14.97
209,Cabo San Lucas,MX,2021-10-03 00:38:22,22.8909,-109.9124,84.51,88,90,0.0
210,Cherskiy,RU,2021-10-03 00:41:39,68.75,161.3,27.46,95,100,12.55
211,Dikson,RU,2021-10-03 00:42:27,73.5069,80.5464,33.46,96,100,8.03
212,Senador Guiomard,BR,2021-10-03 00:42:28,-10.1522,-67.7392,85.75,62,52,3.49
213,Te Anau,NZ,2021-10-03 00:42:18,-45.4167,167.7167,53.01,65,100,1.23
214,Georgetown,MY,2021-10-03 00:37:46,5.4112,100.3354,81.9,91,20,1.01
215,Magadan,RU,2021-10-03 00:42:28,59.5667,150.8,43.32,72,100,6.6
216,Smithers,CA,2021-10-03 00:42:29,54.7804,-127.1743,50.32,53,40,18.41
217,Grafton,US,2021-10-03 00:42:27,42.207,-71.6856,65.34,76,1,1.01
218,Moussoro,TD,2021-10-03 00:42:30,13.6408,16.4901,87.42,19,97,9.33
219,Mabaruma,GY,2021-10-03 00:42:30,8.2,-59.7833,73.85,97,100,3.8
220,Uarini,BR,2021-10-03 00:42:31,-2.99,-65.1083,73.81,96,85,2.28
221,Mosquera,CO,2021-10-03 00:42:31,4.7059,-74.2302,57.29,82,40,4.61
222,Ponta Do Sol,PT,2021-10-03 00:42:32,32.6667,-17.1,72.72,79,0,3.18
223,Cazones,MX,2021-10-03 00:42:32,20.7167,-97.3167,77.45,88,100,3.36
224,Bahia Blanca,AR,2021-10-03 00:42:32,-38.7196,-62.2724,45.97,64,0,8.7
225,Urusha,RU,2021-10-03 00:42:33,54.05,122.9,40.44,50,41,2.89
226,Inhambane,MZ,2021-10-03 00:42:33,-23.865,35.3833,74.14,91,91,10.11
227,Constitucion,CL,2021-10-03 00:42:34,-35.3333,-72.4167,50.29,54,0,15.86
228,San Patricio,US,2021-10-03 00:42:34,28.017,-97.5169,83.53,71,100,6.08
229,Kieta,PG,2021-10-03 00:42:35,-6.2167,155.6333,83.28,72,100,4.56
230,Pangody,RU,2021-10-03 00:42:35,65.85,74.4859,29.91,84,100,14.65
231,Hasaki,JP,2021-10-03 00:39:14,35.7333,140.8333,77.29,67,0,14.61
232,Timmins,CA,2021-10-03 00:42:36,48.4669,-81.3331,53.42,94,90,6.91
233,Burshtyn,UA,2021-10-03 00:42:36,49.2587,24.6278,43.75,62,31,6.58
234,Lata,PT,2021-10-03 00:42:37,40.1629,-8.3327,66.07,92,100,10.98
235,Ust-Barguzin,RU,2021-10-03 00:42:38,53.45,108.9833,38.68,75,98,2.15
236,Catuday,PH,2021-10-03 00:42:38,16.2923,119.8062,82.11,73,25,8.5
237,Kathmandu,NP,2021-10-03 00:42:38,27.7167,85.3167,68.22,94,75,0.0
238,Oranjemund,NA,2021-10-03 00:42:39,-28.55,16.4333,53.37,74,0,19.82
239,Wakkanai,JP,2021-10-03 00:42:39,45.4094,141.6739,60.78,51,20,17.27
240,Leshukonskoye,RU,2021-10-03 00:42:40,64.8989,45.7622,39.83,87,100,4.0
241,Zhangjiakou,CN,2021-10-03 00:42:40,40.81,114.8794,62.19,72,39,1.07
242,Aswan,EG,2021-10-03 00:42:40,24.0934,32.907,76.3,38,0,10.36
243,Chabahar,IR,2021-10-03 00:42:41,25.2919,60.643,81.79,79,100,24.4
244,Amga,RU,2021-10-03 00:42:41,60.8953,131.9608,30.67,81,100,2.48
245,Harer,ET,2021-10-03 00:42:42,9.3094,42.1258,59.45,81,18,1.25
246,Mayumba,GA,2021-10-03 00:42:42,-3.432,10.6554,75.45,90,97,8.72
247,Praia Da Vitoria,PT,2021-10-03 00:42:43,38.7333,-27.0667,72.75,94,75,11.45
248,Valparaiso,CL,2021-10-03 00:42:43,-33.0393,-71.6273,55.04,62,0,4.61
249,Balabac,PH,2021-10-03 00:42:43,7.9868,117.0645,81.9,81,100,9.82
250,Banjar,ID,2021-10-03 00:42:44,-8.19,114.9675,80.46,68,20,7.05
251,Presidente Epitacio,BR,2021-10-03 00:42:44,-21.7633,-52.1156,71.13,91,100,10.78
252,Lewiston,US,2021-10-03 00:42:45,44.1003,-70.2148,56.39,96,90,0.0
253,Goderich,CA,2021-10-03 00:41:10,43.7501,-81.7165,70.12,52,100,14.97
254,Sant Cugat Del Valles,ES,2021-10-03 00:42:45,41.4667,2.0833,73.72,84,75,3.44
255,Honiara,SB,2021-10-03 00:42:46,-9.4333,159.95,84.33,75,98,3.62
256,Katsuura,JP,2021-10-03 00:42:46,35.1333,140.3,73.51,74,0,9.69
257,Port Blair,IN,2021-10-03 00:42:46,11.6667,92.75,77.04,94,75,4.61
258,Arlit,NE,2021-10-03 00:42:47,18.7369,7.3853,82.6,18,0,11.03
259,The Valley,AI,2021-10-03 00:41:28,18.217,-63.0578,85.86,72,69,17.72
260,Majene,ID,2021-10-03 00:42:47,-3.5403,118.9707,82.67,74,37,4.23
261,Bowen,AU,2021-10-03 00:42:48,-20.0167,148.2333,86.22,76,13,12.8
262,Bud,US,2021-10-03 00:41:09,39.447,-86.1758,71.02,98,100,8.84
263,Porto Empedocle,IT,2021-10-03 00:42:49,37.2934,13.5264,68.9,77,5,8.19
264,Washington,US,2021-10-03 00:42:49,47.5001,-120.5015,69.03,39,5,2.57
265,Hervey Bay,AU,2021-10-03 00:42:49,-25.2986,152.8535,81.03,54,0,10.22
266,Sal Rei,CV,2021-10-03 00:42:50,16.1833,-22.9167,79.36,85,70,13.67
267,San Onofre,CO,2021-10-03 00:42:51,9.7359,-75.5263,78.75,86,49,3.29
268,Hamilton,US,2021-10-03 00:38:19,39.1834,-84.5333,73.65,88,40,5.75
269,Cherepet,RU,2021-10-03 00:42:51,54.1178,36.3788,37.92,84,18,3.24
270,Alice Springs,AU,2021-10-03 00:42:52,-23.7,133.8833,69.35,37,0,10.36
271,Omidiyeh,IR,2021-10-03 00:42:52,30.7597,49.705,78.55,17,0,5.41
272,Klaksvik,FO,2021-10-03 00:42:52,62.2266,-6.589,50.92,90,100,21.7
273,Biltine,TD,2021-10-03 00:42:53,14.5333,20.9167,82.54,24,38,7.94
274,Jumla,NP,2021-10-03 00:42:53,29.2747,82.1838,54.82,87,12,4.0
